time,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
5/22/2016 12:45:39,Straight,19,$0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,No,I don't want help,No,A student,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise"
5/22/2016 13:11:35,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,8,No,No,I don't want help,No,Employed for wages,Cashier,"Some college, no degree",Joined a gym/go to the gym
5/22/2016 13:39:57,Straight,25,"$50,000 to $74,999",Mixed,Normal weight,No,No,No,12,No,No,I don't want help,No,Employed for wages,Consultant,Master’s degree,Other exercise
5/22/2016 13:55:14,Bisexual,21,$0,White non-Hispanic,Underweight,Yes,No,No,0,No,Yes,I don't know,Yes,A student,no job,"Some college, no degree","work out at home, eat more"
5/22/2016 14:01:36,Straight,20,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,No,6,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Student employee,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/22/2016 14:04:52,Straight,23,"$20,000 to $29,999",Black,Overweight,No,No,No,15,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Yes,Employed for wages,Usher ,"Some college, no degree",None
5/22/2016 14:12:23,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,No,No,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Part time paperboy,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/22/2016 14:16:06,Straight,42,"$200,000 or more",White non-Hispanic,Overweight,Yes,No,No,0,No,No,I don't want help,No,Employed for wages,Principal Software Engineer,"Some college, no degree",Non-physical forms of improvement
5/22/2016 14:22:12,Straight,32,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,5,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",No,Out of work and looking for work,j,"High school graduate, diploma or the equivalent (for example: GED)",join clubs/socual clubs/meet ups
5/22/2016 15:00:49,Straight,21,"$10,000 to $19,999",White non-Hispanic,Overweight,No,No,No,2,Yes,Yes,I don't want help,No,A student,business representative (have in mind that I am from Poland),"Some college, no degree","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise"
5/22/2016 15:04:05,Straight,21,"$1 to $10,000",Black,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",No,A student,student,"Some high school, no diploma",Therapy
5/22/2016 15:12:32,Bisexual,21,$0,Hispanic (of any race),Normal weight,Yes,No,No,3,Yes,Yes,I don't want help,No,A student,None,Bachelor’s degree,Therapy
