time,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
5/17/2016 20:04:18,Straight,35,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Yes,Employed for wages,mechanical drafter,Associate degree,None
5/17/2016 20:04:30,Bisexual,21,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Out of work and looking for work,-,"Some college, no degree",join clubs/socual clubs/meet ups
5/17/2016 20:04:58,Straight,22,$0,White non-Hispanic,Overweight,Yes,No,No,10,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,unemployed,"Some college, no degree",Other exercise
5/17/2016 20:08:01,Straight,19,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,8,Yes,Yes,date coaching,No,A student,student,"Some college, no degree",Joined a gym/go to the gym
5/17/2016 20:08:04,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,No,No,Yes and I have,10,No,Yes,I don't want help,No,Employed for wages,Factory worker,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 20:09:09,Straight,24,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,Yes,Yes,date coaching,Yes,Employed for wages,game programmer,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/17/2016 20:10:56,Straight,22,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,2,Yes,Yes,"Set me up with a date, date coaching",No,Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 20:11:13,Gay/Lesbian,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,10,Yes,Yes,"wingman/wingwoman, date coaching",Yes,Employed for wages,Fabricator,Trade/technical/vocational training,"Therapy, join clubs/socual clubs/meet ups, None, Volunteering, social activism, traveling"
5/17/2016 20:11:52,Straight,20,"$10,000 to $19,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0,Yes,Yes,Set me up with a date,No,Employed for wages,cashier,"Some college, no degree","Joined a gym/go to the gym, Therapy"
5/17/2016 20:13:37,Straight,33,"$50,000 to $74,999",White non-Hispanic,Overweight,No,No,Yes but I haven't,6,Yes,Yes,Set me up with a date,Yes,Employed for wages,Software Engineer ,Master’s degree,Therapy
5/17/2016 20:17:40,Straight,32,"$50,000 to $74,999",Hispanic (of any race),Overweight,Yes,No,No,5,No,No,date coaching,No,Employed for wages,Nurse,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 20:18:37,Straight,25,"$1 to $10,000",Asian,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Yes,Employed for wages,Freight associate,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
5/17/2016 20:26:57,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,Yes but I haven't,20,No,No,"wingman/wingwoman, Set me up with a date",No,A student,Student,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
5/17/2016 20:30:21,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,Yes,I don't want help,Yes,Unable to work,NEET,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 20:30:26,Straight,22,"$30,000 to $39,999",Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching, someone to kill.me",No,Employed for wages,broker,Bachelor’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
5/17/2016 20:30:49,Straight,23,$0,White non-Hispanic,Underweight,Yes,Yes,No,6,No,Yes,"Set me up with a date, date coaching",No,Retired,Student,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 20:32:26,Straight,29,"$1 to $10,000",white and asian,Normal weight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, someone to hang out with me where I can meet met (e.g. class, free event) and sell me up",No,Out of work and looking for work,Intern,Bachelor’s degree,"Cosmetic survey, Therapy, Other exercise, forced myself to free events or events w/acquintances advertised in fb; been part of a blog for five years and met some members in person"
5/17/2016 20:34:35,Straight,21,"$1 to $10,000",Asian,Normal weight,No,No,No,12,No,No,I don't want help,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/17/2016 20:39:14,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,5,Yes,Yes,I don't want help,Yes,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise"
5/17/2016 20:40:22,Straight,29,"$75,000 to $99,999",caucasian,Normal weight,Yes,No,Yes but I haven't,1,Yes,Yes,Set me up with a date,No,Employed for wages,Surveyor,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
5/17/2016 20:41:29,Straight,32,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,Yes,No,10,Yes,Yes,"Set me up with a date, date coaching",No,Employed for wages,Part time computer Tutor,Bachelor’s degree,"Joined a gym/go to the gym, Therapy"
5/17/2016 20:42:09,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,8,Yes,Yes,I don't want help,No,A student,Student,"Some college, no degree",join clubs/socual clubs/meet ups
5/17/2016 20:42:10,Straight,24,$0,Hispanic (of any race),Normal weight,Yes,No,No,40,Yes,Yes,Set me up with a date,No,A student,student,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise"
5/17/2016 20:44:36,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,10,No,No,I don't want help,No,A student,Kitchen staff,Bachelor’s degree,None
5/17/2016 20:46:31,Straight,21,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Yes,I don't want help,No,Employed for wages,Software Developer,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
5/17/2016 20:48:14,Straight,17,$0,White non-Hispanic,Underweight,Yes,No,No,5,Yes,No,"wingman/wingwoman, Set me up with a date, I don't want help",No,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, None"
5/17/2016 20:48:28,Straight,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,No,Yes,No,3,No,No,I don't want help,No,Employed for wages,Guy,Trade/technical/vocational training,Joined a gym/go to the gym
5/17/2016 20:59:07,Straight,17,$0,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Yes,wingman/wingwoman,No,A student,none (?),"Some high school, no diploma",None
5/17/2016 21:00:47,Straight,28,$0,Asian,Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,No,A student,student,Bachelor’s degree,None
5/17/2016 21:01:09,Straight,19,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,0,Yes,No,I don't want help,No,A student,Peon,"Some college, no degree","Therapy, Other exercise"
5/17/2016 21:08:26,Straight,17,$0,Asian,Underweight,Yes,Yes,No,5,Yes,No,"wingman/wingwoman, Set me up with a date",No,A student,,"Some high school, no diploma",None
5/17/2016 21:15:34,Straight,25,"$1 to $10,000",White non-Hispanic,Underweight,Yes,Yes,No,6,Yes,Yes,I don't want help,No,A student,Student,Bachelor’s degree,Joined a gym/go to the gym
5/17/2016 21:16:35,Straight,17,$0,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, date coaching",No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Therapy
5/17/2016 21:25:17,Straight,23,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,13,No,Yes,wingman/wingwoman,No,Employed for wages,Chef,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise"
5/17/2016 21:34:10,Straight,26,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,No,No,6,No,No,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Butcher,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 21:38:39,Straight,26,$0,White non-Hispanic,Normal weight,No,No,No,3,Yes,No,I don't want help,No,A student,"Medical student, year 4",Doctorate degree,None
5/17/2016 21:39:26,Straight,23,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,15,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Software full stack developer,Bachelor’s degree,"Therapy, Other exercise"
5/17/2016 21:45:04,Straight,25,"$30,000 to $39,999",Asian,Overweight,Yes,Yes,Yes but I haven't,8,Yes,Yes,I don't want help,No,A student,Junior BA,Bachelor’s degree,Joined a gym/go to the gym
5/17/2016 21:45:35,Straight,18,$0,White non-Hispanic,Normal weight,Yes,No,No,17,No,Yes,wingman/wingwoman,No,A student,Cinema Student,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 21:55:53,Straight,19,$0,White non-Hispanic,Normal weight,No,No,No,40,No,No,I don't want help,No,A student,Engineer,Professional degree,None
5/17/2016 21:57:20,Straight,19,"$1 to $10,000",Asian,Normal weight,Yes,No,No,15,No,No,date coaching,No,A student,student,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 22:01:48,Straight,55,"$20,000 to $29,999",White non-Hispanic,Overweight,No,No,No,0,No,No,I don't want help,No,Employed for wages,Iternent peagogue,Bachelor’s degree,join clubs/socual clubs/meet ups
5/17/2016 22:12:58,Straight,35,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,5,No,Yes,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Software developer,Bachelor’s degree,join clubs/socual clubs/meet ups
5/17/2016 22:14:11,Straight,24,$0,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,2,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching, anything",Yes,Out of work and looking for work,Admin Assistant,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 22:15:22,Straight,22,"$10,000 to $19,999",Black,Normal weight,Yes,No,No,0,Yes,No,Set me up with a date,No,Employed for wages,Cook,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 22:19:27,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,1,Yes,Yes,"Set me up with a date, Friends ",No,A student,Grad student ,Master’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 22:20:28,Straight,20,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,5,No,No,I don't want help,No,Military,Aviation Electricians Mate,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
5/17/2016 22:23:12,Straight,25,$0,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,student,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 22:25:40,Bisexual,18,$0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,10,Yes,Yes,"wingman/wingwoman, Set me up with a date",No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
5/17/2016 22:29:37,Straight,29,"$150,000 to $174,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,3,Yes,Yes,I don't want help,No,Employed for wages,Software Engineer,Bachelor’s degree,Other exercise
5/17/2016 22:33:23,Bisexual,24,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,Yes,Out of work but not currently looking for work,Professional NEET,"Some college, no degree","Therapy, Other exercise"
5/17/2016 22:33:51,Bisexual,23,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,No,4,Yes,No,Set me up with a date,No,Employed for wages,Cashier,"Some college, no degree",Joined a gym/go to the gym
5/17/2016 22:38:33,Straight,22,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,service desk analyst,"Some college, no degree",Joined a gym/go to the gym
5/17/2016 22:42:00,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,6,No,Yes,"wingman/wingwoman, Set me up with a date",No,A student,researcher,Master’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 22:43:42,Straight,18,$0,Black,Overweight,Yes,Yes,Yes but I haven't,0,Yes,No,I don't want help,No,A student,,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 22:44:08,Straight,19,$0,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,10,Yes,No,date coaching,No,Out of work but not currently looking for work,,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 22:46:53,Straight,33,"$10,000 to $19,999",Hispanic (of any race),Underweight,No,No,Yes but I haven't,7,Yes,Yes,wingman/wingwoman,No,Employed for wages,loser,"High school graduate, diploma or the equivalent (for example: GED)","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise"
5/17/2016 22:49:46,Straight,23,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,No,No,1,Yes,Yes,"Set me up with a date, date coaching",No,Employed for wages,store clerk,Bachelor’s degree,join clubs/socual clubs/meet ups
5/17/2016 22:51:33,Straight,21,$0,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,NEET,"Some college, no degree","None, started taking some medication"
5/17/2016 22:52:38,Straight,22,"$1 to $10,000",Hispanic (of any race),Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,No,Employed for wages,Intern,Bachelor’s degree,None
5/17/2016 22:55:50,Straight,24,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,No,No,20,No,Yes,Set me up with a date,No,Employed for wages,Management ,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
5/17/2016 22:56:02,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,No,4,Yes,No,wingman/wingwoman,No,Employed for wages,Engineering co-op student,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 23:00:07,Gay/Lesbian,25,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,0,No,Yes,Set me up with a date,No,Employed for wages,Supervisor,Bachelor’s degree,Joined a gym/go to the gym
5/17/2016 23:08:07,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,1,No,Yes,"wingman/wingwoman, Set me up with a date, I don't even know..",No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Clubbing, living in a student house (at dorms)"
5/17/2016 23:09:12,Straight,16,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,8,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Yes,A student,Student,"Some high school, no diploma","Joined a gym/go to the gym, Therapy"
5/17/2016 23:09:32,Straight,22,"$10,000 to $19,999",Middle Eastern,Normal weight,No,No,No,6,Yes,Yes,Set me up with a date,No,Employed for wages,IT,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/17/2016 23:12:04,Straight,20,$0,White non-Hispanic,Overweight,Yes,No,No,4,No,No,I don't want help,No,A student,Software development ,"Some college, no degree",None
5/17/2016 23:13:32,Straight,28,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,bum,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 23:13:58,Straight,21,$0,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, I don't want help",No,Retired,None,"Some college, no degree",Talking to people
5/17/2016 23:15:14,Straight,24,"$20,000 to $29,999",Asian,Overweight,Yes,No,No,8,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Grad Student,Master’s degree,"Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 23:16:50,Straight,38,"$1 to $10,000",White non-Hispanic,Overweight,No,No,No,0,Yes,Yes,I don't want help,Yes,Unable to work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 23:16:59,Straight,24,"$10,000 to $19,999",half Arab,Overweight,Yes,Yes,No,4,No,Yes,Trust,No,Employed for wages,IT Technician,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups, Partying"
5/17/2016 23:19:44,Straight,26,$0,White non-Hispanic,Underweight,Yes,No,No,5,Yes,Yes,Set me up with a date,No,A student,.,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 23:22:00,Straight,25,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,No,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Engineer,Bachelor’s degree,None
5/17/2016 23:22:46,Straight,45,"$20,000 to $29,999",White non-Hispanic,Normal weight,No,No,No,0,Yes,Yes,I don't want help,Yes,Employed for wages,laborer,"Some college, no degree","Therapy, Other exercise"
5/17/2016 23:24:12,Straight,28,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,No,12,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Yes,Employed for wages,Software Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 23:28:48,Straight,21,$0,Hispanic (of any race),Normal weight,Yes,No,No,0,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Student ,"Some college, no degree",None
5/17/2016 23:29:37,Straight,25,"$30,000 to $39,999",Asian,Normal weight,Yes,No,No,2,Yes,Yes,"date coaching, I don't want help",No,Employed for wages,Product Designer,Master’s degree,Other exercise
5/17/2016 23:29:47,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,5,No,No,I don't want help,No,Employed for wages,Data entry,Bachelor’s degree,join clubs/socual clubs/meet ups
5/17/2016 23:33:57,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,Yes,Yes,Set me up with a date,No,A student,Student,"Some college, no degree","join clubs/socual clubs/meet ups, Practice various skills, such as writing and piano."
5/17/2016 23:34:25,Straight,29,"$125,000 to $149,999",Black,Overweight,Yes,No,Yes but I haven't,6,Yes,No,I want help but I am not sure what kind. I always think it would be nice if a woman would approch me but thats not realistic.,Yes,Self-employed,Engineer,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/17/2016 23:34:44,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,4,Yes,No,I don't want help,No,Employed for wages,Sales,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
5/17/2016 23:48:02,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,10,No,No,I don't want help,No,A student,.,Bachelor’s degree,None
5/17/2016 23:50:25,Straight,23,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,0,Yes,No,I don't want help,No,Out of work but not currently looking for work,.,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
5/17/2016 23:55:09,Straight,30,$0,Hispanic (of any race),Underweight,No,No,Yes but I haven't,1,Yes,No,fitness coaching,No,Out of work but not currently looking for work,systems analyst,"Some college, no degree",Therapy
5/17/2016 23:58:39,Straight,15,$0,White non-Hispanic,Normal weight,Yes,No,No,9,No,No,I don't want help,No,Employed for wages,freshman,"Some high school, no diploma",None
5/17/2016 23:59:22,Straight,28,"$20,000 to $29,999",Black,Obese,Yes,Yes,No,0,Yes,No,"Set me up with a date, date coaching",No,A student,Coder,Associate degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 0:02:54,Straight,18,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,5,Yes,Yes,Set me up with a date,No,A student,Undergraduate.,"Some college, no degree",None
5/18/2016 0:03:12,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,30,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Medical Services,Trade/technical/vocational training,"Joined a gym/go to the gym, Other exercise"
5/18/2016 0:05:28,Straight,29,"$20,000 to $29,999",Hispanic (of any race),Normal weight,Yes,No,No,4,No,Yes,I don't want help,No,Out of work and looking for work,Delivery guy,"Some college, no degree","Joined a gym/go to the gym, Therapy"
5/18/2016 0:07:31,Straight,30,"$30,000 to $39,999",Hispanic (of any race),Overweight,Yes,No,No,5,No,Yes,Set me up with a date,No,Employed for wages,IT operations ,Bachelor’s degree,None
5/18/2016 0:10:56,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, Pity fuck",No,Employed for wages,Engineer,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups, Change my lifestyle, eat healthy, etc"
5/18/2016 0:11:13,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,Yes,No,No,100,No,Yes,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Intermediate Call Center Representative,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 0:14:54,Straight,34,"$20,000 to $29,999",White non-Hispanic,Obese,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,No,Unable to work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
5/18/2016 0:15:10,Straight,23,$0,White non-Hispanic,Overweight,Yes,No,No,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,.,Bachelor’s degree,None
5/18/2016 0:22:00,Straight,22,"$20,000 to $29,999",White non-Hispanic,Normal weight,No,No,No,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Call Center Agent,"Some college, no degree",Other exercise
5/18/2016 0:23:17,Straight,23,"$1 to $10,000",Hispanic (of any race),Normal weight,No,Yes,Yes and I have,20,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",Yes,A student,Economist,Bachelor’s degree,Other exercise
5/18/2016 0:26:34,Straight,30,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,10,Yes,Yes,date coaching,No,Employed for wages,Farm hand,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 0:28:30,Bisexual,19,$0,White non-Hispanic,Overweight,Yes,No,No,0,Yes,Yes,Set me up with a date,No,A student,I have no job,"Some college, no degree",None
5/18/2016 0:35:13,Straight,19,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,6,Yes,Yes,Set me up with a date,Yes,A student,Undergraduate,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 0:36:07,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,No,Yes,No,6,No,No,wingman/wingwoman,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Cosmetic survey, Joined a gym/go to the gym, Therapy"
5/18/2016 0:40:40,Straight,16,$0,Hispanic (of any race),Overweight,Yes,No,No,0,Yes,Yes,I don't want help,Yes,A student,Loser,"Some high school, no diploma",Joined a gym/go to the gym
5/18/2016 0:40:52,Straight,25,$0,White non-Hispanic,Normal weight,No,No,No,2,No,No,I don't want help,Yes,Unable to work,na,"Some college, no degree",None
5/18/2016 0:41:52,Straight,19,$0,White non-Hispanic,Overweight,Yes,No,No,6,Yes,Yes,I don't want help,No,Unable to work,none,"High school graduate, diploma or the equivalent (for example: GED)",Therapy
5/18/2016 0:44:01,Bisexual,26,"$50,000 to $74,999",Hispanic (of any race),Normal weight,No,No,No,2,Yes,Yes,Maybe to learn how to be happy,Yes,A student,Optometric tech,Master’s degree,Joined a gym/go to the gym
5/18/2016 0:45:43,Straight,32,"$100,000 to $124,999",White non-Hispanic,Overweight,Yes,No,No,5,Yes,Yes,I don't want help,No,Employed for wages,Software Developer,Bachelor’s degree,Other exercise
5/18/2016 0:50:46,Straight,28,$0,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,NEET,"Some college, no degree",None
5/18/2016 0:50:50,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,Yes,No,4,No,No,I don't want help,No,Employed for wages,Worker,"Some college, no degree",Joined a gym/go to the gym
5/18/2016 0:51:07,Straight,18,"$10,000 to $19,999",Asian,Normal weight,Yes,Yes,No,10,Yes,No,wingman/wingwoman,No,A student,Student. Part time web developer?,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 0:54:09,Straight,22,$0,Asian,Normal weight,Yes,No,No,0,Yes,No,I don't want help,No,Out of work and looking for work,Funemployed ,Bachelor’s degree,None
5/18/2016 0:57:21,Straight,25,"$10,000 to $19,999",Black,Overweight,Yes,No,Yes but I haven't,2,Yes,Yes,date coaching,Yes,Out of work and looking for work,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
5/18/2016 1:12:10,Straight,19,"$30,000 to $39,999",Asian,Normal weight,Yes,No,Yes but I haven't,1,No,Yes,Set me up with a date,No,A student,i/t support,Bachelor’s degree,"Cosmetic survey, Other exercise"
5/18/2016 1:13:28,Straight,21,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,No,"wingman/wingwoman, Set me up with a date",No,Military,Grunt,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 1:13:43,Straight,17,$0,Asian,Underweight,Yes,No,No,16,No,No,Friendship,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 1:17:35,Bisexual,38,$0,White non-Hispanic,Normal weight,No,No,No,0,Yes,Yes,Friendship,Yes,Unable to work,Unemployed ,Bachelor’s degree,"Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/18/2016 1:18:39,Straight,23,"$20,000 to $29,999",Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,15,No,No,Set me up with a date,No,Out of work and looking for work,Nothing,Bachelor’s degree,Other exercise
5/18/2016 1:20:07,Straight,21,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,3,No,No,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Student,"Some college, no degree","Therapy, join clubs/socual clubs/meet ups"
5/18/2016 1:20:46,Straight,19,$0,White non-Hispanic,Underweight,Yes,No,No,0,Yes,No,I don't want help,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",None
5/18/2016 1:21:32,Straight,19,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,Yes,No,2,Yes,No,I don't want help,No,Employed for wages,Software developer ,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
5/18/2016 1:21:57,Straight,21,"$75,000 to $99,999",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,1,No,Yes,I don't want help,No,Self-employed, Ceo,Trade/technical/vocational training,None
